WB1M,WB1Y,WB2,WB3,WB4,WB5,WB7,WAGE,WB8,MT6,MT9,MT10,MT13A,MT13B,MT13C,MT13D,MT13E,MT13X,CM1,CM5A,CM5B,CM6,CM7A,CM7B,CM8,CM9A,CM9B,CM10,CM12M,DB1,DB2,MN20,MN24,CP1,CP2,CP2A,CP5,DV1A,DV1B,DV1C,DV1D,DV1E,DV1F,DV1G,DV1H,DV1I,MA1,MA5,MA6,MA8M,MA8Y,MA9,SB1,SB14,SB15,HA1,HA2,HA3,HA4,HA5,HA6,HA7,HA8A,HA8B,HA8C,HA8BB,HA9,HA9A,HA10,HA11,HA12,HA12A,HA12B,HA12C,HA12D,HH7,WAGEM,MSTATUS,CEB,CSURV,CDEAD,wmweight,welevel,wscore,windex5
11,1996,17,Yes,Secondary,0,,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,Yes,No,Yes,No,No,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,Yes,No,Hhohho,,Never married/in union,0,0,0,1.166414340800303,Secondary,.0625287682807273,Middle
8,1998,15,Yes,Primary,7,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,DK,No,DK,"No, not in union",No,,,,,Never had intercourse,,,Yes,No,No,Yes,Yes,No,No,Yes,DK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,1.166414340800303,Primary,.4028759034399179,Fourth
10,1997,16,Yes,High,1,,15-19,Christianity,Yes,Yes,Yes,A, ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,Yes,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,1.166414340800303,Higher,1.168820894804683,Richest
8,1999,15,Yes,Secondary,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,DK,DK,Yes,No,DK,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,DK,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,1.166414340800303,Secondary,-.0872602669089689,Middle
8,1998,15,Yes,Primary,6,Able to read whole sentence,15-19,Christianity,No,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,Yes,,No,No,Yes,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.9849229253437096,Primary,-.6635068027725619,Second
1,1995,19,Yes,High,2,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,Yes,No,No,No,No,No,Yes,"No, not in union",No,,,,,19,,1,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,DK,No,Yes,No,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.5968781036293458,Higher,-.1704639201011822,Middle
8,1996,17,Yes,High,0,,15-19,Christianity,Yes,Yes,Yes, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.5968781036293458,Higher,-.1704639201011822,Middle
9,1994,19,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,Yes,No,No,No,No,Yes,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,Missing,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Hhohho,,Never married/in union,0,0,0,.5968781036293458,Secondary,-1.216336276527579,Poorest
5,1997,17,Yes,Secondary,1,,15-19,Christianity,Yes,No,, , , , , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,No,No,No,No,No,No,No,No,"No, not in union",No,,,,,16,,1,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,DK,Yes,Yes,Yes,No,Yes,DK / Not sure / Depends,DK / Not sure / Depends,No,,Hhohho,,Never married/in union,0,0,0,.7215010043871212,Secondary,.0906444937504451,Middle
1,1996,18,Yes,High,2,,15-19,Christianity,Yes,Yes,Yes, , ,C, , , ,No,,,,,,No,,,0,,,,,,No,No,No,,No,Yes,Yes,No,No,No,Yes,No,Yes,"No, not in union",No,,,,,Never had intercourse,,,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Hhohho,,Never married/in union,0,0,0,.7458347648404273,Higher,.4583556371537218,Fourth
